	alpha	total_observations	power	effect_size	difference	metric	column
0	0.01	20	0.015079711041322658	0.17751465349689585		cohens_d	asd
1	0.05	20	0.06636487843643313	0.17751465349689585		cohens_d	asd
2	0.1	20	0.12467746714275144	0.17751465349689585		cohens_d	asd
3	0.01	40	0.021679294186182516	0.17751465349689585		cohens_d	asd
4	0.05	40	0.0849592569349354	0.17751465349689585		cohens_d	asd
5	0.1	40	0.15113209997213117	0.17751465349689585		cohens_d	asd
6	0.01	60	0.02880448697430281	0.17751465349689585		cohens_d	asd
7	0.05	60	0.10380258802992096	0.17751465349689585		cohens_d	asd
8	0.1	60	0.1772384500731366	0.17751465349689585		cohens_d	asd
9	0.01	80	0.03643508564648727	0.17751465349689585		cohens_d	asd
10	0.05	80	0.12286444248673081	0.17751465349689585		cohens_d	asd
11	0.1	80	0.20299535079674816	0.17751465349689585		cohens_d	asd
12	0.01	100	0.044550582049699944	0.17751465349689585		cohens_d	asd
13	0.05	100	0.1420974858634545	0.17751465349689585		cohens_d	asd
14	0.1	100	0.22837492580913876	0.17751465349689585		cohens_d	asd
15	0.01	120	0.05312980279152223	0.17751465349689585		cohens_d	asd
16	0.05	120	0.16145436887922127	0.17751465349689585		cohens_d	asd
17	0.1	120	0.25334856912437675	0.17751465349689585		cohens_d	asd
18	0.01	140	0.062151069895159575	0.17751465349689585		cohens_d	asd
19	0.05	140	0.18089002015659686	0.17751465349689585		cohens_d	asd
20	0.1	140	0.2778902192885622	0.17751465349689585		cohens_d	asd
21	0.01	160	0.07159233515797615	0.17751465349689585		cohens_d	asd
22	0.05	160	0.2003621278290856	0.17751465349689585		cohens_d	asd
23	0.1	160	0.3019769496426926	0.17751465349689585		cohens_d	asd
24	0.01	180	0.08143129112548568	0.17751465349689585		cohens_d	asd
25	0.05	180	0.21983121929524915	0.17751465349689585		cohens_d	asd
26	0.1	180	0.32558898374573775	0.17751465349689585		cohens_d	asd
27	0.01	200	0.09164547349539588	0.17751465349689585		cohens_d	asd
28	0.05	200	0.23926061299674772	0.17751465349689585		cohens_d	asd
29	0.1	200	0.34870954731245873	0.17751465349689585		cohens_d	asd
30	0.01	220	0.10221235270214384	0.17751465349689585		cohens_d	asd
31	0.05	220	0.25861634058896477	0.17751465349689585		cohens_d	asd
32	0.1	220	0.37132468330511975	0.17751465349689585		cohens_d	asd
33	0.01	240	0.11310941347132503	0.17751465349689585		cohens_d	asd
34	0.05	240	0.27786704484313274	0.17751465349689585		cohens_d	asd
35	0.1	240	0.39342304915922216	0.17751465349689585		cohens_d	asd
36	0.01	260	0.12431423561542118	0.17751465349689585		cohens_d	asd
37	0.05	260	0.29698386192474246	0.17751465349689585		cohens_d	asd
38	0.1	260	0.41499570693442955	0.17751465349689585		cohens_d	asd
39	0.01	280	0.13580456265973317	0.17751465349689585		cohens_d	asd
40	0.05	280	0.3159403204251559	0.17751465349689585		cohens_d	asd
41	0.1	280	0.4360359397708974	0.17751465349689585		cohens_d	asd
42	0.01	300	0.14755836144693235	0.17751465349689585		cohens_d	asd
43	0.05	300	0.3347122275538419	0.17751465349689585		cohens_d	asd
44	0.1	300	0.45653906188648097	0.17751465349689585		cohens_d	asd
45	0.01	320	0.15955388520339434	0.17751465349689585		cohens_d	asd
46	0.05	320	0.35327755018208745	0.17751465349689585		cohens_d	asd
47	0.1	320	0.47650225071812147	0.17751465349689585		cohens_d	asd
48	0.01	340	0.1717697226249764	0.17751465349689585		cohens_d	asd
49	0.05	340	0.37161631673980516	0.17751465349689585		cohens_d	asd
50	0.1	340	0.49592436385638217	0.17751465349689585		cohens_d	asd
51	0.01	360	0.18418484759425774	0.17751465349689585		cohens_d	asd
52	0.05	360	0.3897105051868208	0.17751465349689585		cohens_d	asd
53	0.1	360	0.5148058069806459	0.17751465349689585		cohens_d	asd
54	0.01	380	0.1967786537334763	0.17751465349689585		cohens_d	asd
55	0.05	380	0.4075439444866147	0.17751465349689585		cohens_d	asd
56	0.1	380	0.533148377712571	0.17751465349689585		cohens_d	asd
57	0.01	400	0.20953100107541459	0.17751465349689585		cohens_d	asd
58	0.05	400	0.42510219829118645	0.17751465349689585		cohens_d	asd
59	0.1	400	0.5509551406542695	0.17751465349689585		cohens_d	asd
60	0.01	420	0.2224222431083624	0.17751465349689585		cohens_d	asd
61	0.05	420	0.44237248624440306	0.17751465349689585		cohens_d	asd
62	0.1	420	0.5682302733015078	0.17751465349689585		cohens_d	asd
63	0.01	440	0.23543325972688123	0.17751465349689585		cohens_d	asd
64	0.05	440	0.4593435774782419	0.17751465349689585		cohens_d	asd
65	0.1	440	0.5849789847346585	0.17751465349689585		cohens_d	asd
66	0.01	460	0.24854547186945455	0.17751465349689585		cohens_d	asd
67	0.05	460	0.4760057015060064	0.17751465349689585		cohens_d	asd
68	0.1	460	0.6012073850682799	0.17751465349689585		cohens_d	asd
69	0.01	480	0.2617408752447335	0.17751465349689585		cohens_d	asd
70	0.05	480	0.4923504672618515	0.17751465349689585		cohens_d	asd
71	0.1	480	0.6169223961484829	0.17751465349689585		cohens_d	asd
72	0.01	500	0.27500205003384565	0.17751465349689585		cohens_d	asd
73	0.05	500	0.5083707495156645	0.17751465349689585		cohens_d	asd
74	0.1	500	0.6321316288756956	0.17751465349689585		cohens_d	asd
