	alpha	total_observations	power	effect_size	difference	metric	column
0	0.01	20		0.018853736544884585		cohens_f	country
1	0.05	20		0.018853736544884585		cohens_f	country
2	0.1	20		0.018853736544884585		cohens_f	country
3	0.01	40	0.010026607915381569	0.018853736544884585		cohens_f	country
4	0.05	40	0.0501096546337394	0.018853736544884585		cohens_f	country
5	0.1	40	0.10019225682826616	0.018853736544884585		cohens_f	country
6	0.01	60	0.010060717566142907	0.018853736544884585		cohens_f	country
7	0.05	60	0.05023654672083255	0.018853736544884585		cohens_f	country
8	0.1	60	0.10040306527359522	0.018853736544884585		cohens_f	country
9	0.01	80	0.010094244540080344	0.018853736544884585		cohens_f	country
10	0.05	80	0.05035913531854619	0.018853736544884585		cohens_f	country
11	0.1	80	0.10060543711632874	0.018853736544884585		cohens_f	country
12	0.01	100	0.010126921535430156	0.018853736544884585		cohens_f	country
13	0.05	100	0.05047995851947551	0.018853736544884585		cohens_f	country
14	0.1	100	0.10080496122833693	0.018853736544884585		cohens_f	country
15	0.01	120	0.010160040970436324	0.018853736544884585		cohens_f	country
16	0.05	120	0.050600793822175416	0.018853736544884585		cohens_f	country
17	0.1	120	0.10100395941129836	0.018853736544884585		cohens_f	country
18	0.01	140	0.010193192938316775	0.018853736544884585		cohens_f	country
19	0.05	140	0.050721506045319664	0.018853736544884585		cohens_f	country
20	0.1	140	0.1012025888365502	0.018853736544884585		cohens_f	country
21	0.01	160	0.010226397299451961	0.018853736544884585		cohens_f	country
22	0.05	160	0.050842215957076276	0.018853736544884585		cohens_f	country
23	0.1	160	0.10140107977928448	0.018853736544884585		cohens_f	country
24	0.01	180	0.01025966477849194	0.018853736544884585		cohens_f	country
25	0.05	180	0.050962986573543145	0.018853736544884585		cohens_f	country
26	0.1	180	0.10159955196638837	0.018853736544884585		cohens_f	country
27	0.01	200	0.010293002033036958	0.018853736544884585		cohens_f	country
28	0.05	200	0.05108385432075346	0.018853736544884585		cohens_f	country
29	0.1	200	0.10179807409642161	0.018853736544884585		cohens_f	country
30	0.01	220	0.010326413720249672	0.018853736544884585		cohens_f	country
31	0.05	220	0.051204841991908445	0.018853736544884585		cohens_f	country
32	0.1	220	0.1019966886246636	0.018853736544884585		cohens_f	country
33	0.01	240	0.010359903449288499	0.018853736544884585		cohens_f	country
34	0.05	240	0.051325964816779535	0.018853736544884585		cohens_f	country
35	0.1	240	0.1021954233865573	0.018853736544884585		cohens_f	country
36	0.01	260	0.010393474262219926	0.018853736544884585		cohens_f	country
37	0.05	260	0.05144723357007763	0.018853736544884585		cohens_f	country
38	0.1	260	0.10239429755652285	0.018853736544884585		cohens_f	country
39	0.01	280	0.01042712889459907	0.018853736544884585		cohens_f	country
40	0.05	280	0.05156865627815821	0.018853736544884585		cohens_f	country
41	0.1	280	0.1025933249227654	0.018853736544884585		cohens_f	country
42	0.01	300	0.010460869924757699	0.018853736544884585		cohens_f	country
43	0.05	300	0.05169023921001703	0.018853736544884585		cohens_f	country
44	0.1	300	0.10279251579059312	0.018853736544884585		cohens_f	country
45	0.01	320	0.010494699863263346	0.018853736544884585		cohens_f	country
46	0.05	320	0.05181198747979243	0.018853736544884585		cohens_f	country
47	0.1	320	0.10299187814077826	0.018853736544884585		cohens_f	country
48	0.01	340	0.01052862120847009	0.018853736544884585		cohens_f	country
49	0.05	340	0.05193390542739851	0.018853736544884585		cohens_f	country
50	0.1	340	0.10319141836224444	0.018853736544884585		cohens_f	country
51	0.01	360	0.010562636482024379	0.018853736544884585		cohens_f	country
52	0.05	360	0.05205599686694118	0.018853736544884585		cohens_f	country
53	0.1	360	0.10339114173098896	0.018853736544884585		cohens_f	country
54	0.01	380	0.010596748252039934	0.018853736544884585		cohens_f	country
55	0.05	380	0.05217826525337044	0.018853736544884585		cohens_f	country
56	0.1	380	0.10359105273197078	0.018853736544884585		cohens_f	country
57	0.01	400	0.010630959148494323	0.018853736544884585		cohens_f	country
58	0.05	400	0.05230071379710821	0.018853736544884585		cohens_f	country
59	0.1	400	0.10379115528109217	0.018853736544884585		cohens_f	country
60	0.01	420	0.010665271873495641	0.018853736544884585		cohens_f	country
61	0.05	420	0.05242334554432704	0.018853736544884585		cohens_f	country
62	0.1	420	0.10399145288113798	0.018853736544884585		cohens_f	country
63	0.01	440	0.01069968920816855	0.018853736544884585		cohens_f	country
64	0.05	440	0.052546163434330495	0.018853736544884585		cohens_f	country
65	0.1	440	0.10419194873371096	0.018853736544884585		cohens_f	country
66	0.01	460	0.010734214017238619	0.018853736544884585		cohens_f	country
67	0.05	460	0.05266917034128504	0.018853736544884585		cohens_f	country
68	0.1	460	0.10439264582106833	0.018853736544884585		cohens_f	country
69	0.01	480	0.010768849251951429	0.018853736544884585		cohens_f	country
70	0.05	480	0.0527923691046327	0.018853736544884585		cohens_f	country
71	0.1	480	0.10459354696620304	0.018853736544884585		cohens_f	country
72	0.01	500	0.010801421219818197	0.018853736544884585		cohens_f	country
73	0.05	500	0.05291576255191599	0.018853736544884585		cohens_f	country
74	0.1	500	0.10479465487826867	0.018853736544884585		cohens_f	country
