	alpha	total_observations	power	effect_size	difference	metric	column
0	0.01	20	0.01126943819514592	0.07972096780154302		cohens_f	types_of_plants
1	0.05	20	0.05473768661469591	0.07972096780154302		cohens_f	types_of_plants
2	0.1	20	0.10781356818758725	0.07972096780154302		cohens_f	types_of_plants
3	0.01	40	0.013260651984627114	0.07972096780154302		cohens_f	types_of_plants
4	0.05	40	0.06128263010059831	0.07972096780154302		cohens_f	types_of_plants
5	0.1	40	0.1179592334613645	0.07972096780154302		cohens_f	types_of_plants
6	0.01	60	0.015403050225584192	0.07972096780154302		cohens_f	types_of_plants
7	0.05	60	0.06802156246321722	0.07972096780154302		cohens_f	types_of_plants
8	0.1	60	0.12821072894513263	0.07972096780154302		cohens_f	types_of_plants
9	0.01	80	0.01769395986505007	0.07972096780154302		cohens_f	types_of_plants
10	0.05	80	0.07496478144119345	0.07972096780154302		cohens_f	types_of_plants
11	0.1	80	0.13859847065145603	0.07972096780154302		cohens_f	types_of_plants
12	0.01	100	0.020125232755574984	0.07972096780154302		cohens_f	types_of_plants
13	0.05	100	0.08210455071362077	0.07972096780154302		cohens_f	types_of_plants
14	0.1	100	0.14911869752271878	0.07972096780154302		cohens_f	types_of_plants
15	0.01	120	0.022708270454871116	0.07972096780154302		cohens_f	types_of_plants
16	0.05	120	0.08943901565302947	0.07972096780154302		cohens_f	types_of_plants
17	0.1	120	0.1597572590710733	0.07972096780154302		cohens_f	types_of_plants
18	0.01	140	0.025440184237266572	0.07972096780154302		cohens_f	types_of_plants
19	0.05	140	0.09695933981324079	0.07972096780154302		cohens_f	types_of_plants
20	0.1	140	0.17050970348102423	0.07972096780154302		cohens_f	types_of_plants
21	0.01	160	0.028321929921635403	0.07972096780154302		cohens_f	types_of_plants
22	0.05	160	0.10465810864480662	0.07972096780154302		cohens_f	types_of_plants
23	0.1	160	0.18136274409554476	0.07972096780154302		cohens_f	types_of_plants
24	0.01	180	0.031344027743710035	0.07972096780154302		cohens_f	types_of_plants
25	0.05	180	0.11252781939090861	0.07972096780154302		cohens_f	types_of_plants
26	0.1	180	0.19230552009823976	0.07972096780154302		cohens_f	types_of_plants
27	0.01	200	0.03452053391585452	0.07972096780154302		cohens_f	types_of_plants
28	0.05	200	0.12055505311454506	0.07972096780154302		cohens_f	types_of_plants
29	0.1	200	0.20332737169919302	0.07972096780154302		cohens_f	types_of_plants
30	0.01	220	0.03784582782842372	0.07972096780154302		cohens_f	types_of_plants
31	0.05	220	0.12874034236801102	0.07972096780154302		cohens_f	types_of_plants
32	0.1	220	0.21441790320771226	0.07972096780154302		cohens_f	types_of_plants
33	0.01	240	0.04131969273040481	0.07972096780154302		cohens_f	types_of_plants
34	0.05	240	0.13707247359043695	0.07972096780154302		cohens_f	types_of_plants
35	0.1	240	0.2255605908648477	0.07972096780154302		cohens_f	types_of_plants
36	0.01	260	0.04494177470325689	0.07972096780154302		cohens_f	types_of_plants
37	0.05	260	0.14554364703530198	0.07972096780154302		cohens_f	types_of_plants
38	0.1	260	0.23675526488316812	0.07972096780154302		cohens_f	types_of_plants
39	0.01	280	0.048702748311280186	0.07972096780154302		cohens_f	types_of_plants
40	0.05	280	0.15414610519214245	0.07972096780154302		cohens_f	types_of_plants
41	0.1	280	0.2479881368347462	0.07972096780154302		cohens_f	types_of_plants
42	0.01	300	0.052615179605187135	0.07972096780154302		cohens_f	types_of_plants
43	0.05	300	0.16287214842542652	0.07972096780154302		cohens_f	types_of_plants
44	0.1	300	0.2592498300180398	0.07972096780154302		cohens_f	types_of_plants
45	0.01	320	0.05667234258478915	0.07972096780154302		cohens_f	types_of_plants
46	0.05	320	0.171714148746001	0.07972096780154302		cohens_f	types_of_plants
47	0.1	320	0.2705312789457788	0.07972096780154302		cohens_f	types_of_plants
48	0.01	340	0.06087300524094086	0.07972096780154302		cohens_f	types_of_plants
